Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,hourly,employer_provided,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Analytics Consultant,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,66.5,"SpringML
", IN,0,5,1,0,0,0,0
"Director, Data Science",3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,0,0,179.5,"Grainger
", IL,1,93,1,0,0,0,1
Scientist,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,0,0,76,"EAG Laboratories
", MO,0,42,0,0,0,0,1
Data Scientist SR,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,0,0,112,"The Buffalo Group
", VA,0,10,1,0,1,0,0
Data Scientist,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,0,0,98,"Carmeuse
", PA,0,160,1,0,0,0,0
R&D Sr Data Scientist,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,0,0,128,"HP Inc.
", WA,0,81,0,0,1,1,0
Customer Data Scientist/Sales Engineer (Bay,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,150.5,"h2o.ai
", CA,1,9,1,0,1,1,1
Research Scientist,1.9,"GNS Healthcare
1.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,87.5,"GNS Healthcare
", MA,1,20,0,0,0,1,0
Data Scientist,3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,110,"Peraton
", VA,0,3,1,0,0,0,1
Data Scientist,4.4,"Pactera
4.4","San Jose, CA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,0,0,113.5,"Pactera
", CA,0,25,1,0,0,0,1
Data Scientist,3.9,"Nurx
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,0,0,124,"Nurx
", CA,1,4,1,0,0,0,0
Jr. Business Data Analyst,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,0,0,56.5,"webfx.com
", PA,1,23,0,0,0,0,1
Data Scientist,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,0,0,130,"Johns Hopkins University Applied Physics Laboratory
", MD,1,78,1,0,0,0,1
Data Analyst,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,0,0,77.5,"Productive Edge
", IL,1,12,0,0,0,0,1
Data Engineer,4,"Excella Consulting
4.0","Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,0,0,87,"Excella Consulting
", VA,1,18,1,0,0,1,1
Data Analyst,4.4,"Gensco
4.4","Tacoma, WA","Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,0,0,53.5,"Gensco
", WA,1,72,0,0,0,0,1
Staff Data Scientist - Technology,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,139,"Walmart
", TX,0,58,0,0,0,0,0
Data Scientist,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,0,0,114,"Logic20/20
", CA,0,15,1,0,1,1,1
Data Scientist,4.2,"goTRG
4.2","Miami, FL","Miami, FL",501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,85.5,"goTRG
", FL,1,12,1,0,1,0,1
Data Management Specialist,4.5,"NMR Consulting
4.5","Huntsville, AL","Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,0,0,48,"NMR Consulting
", AL,0,24,0,0,0,0,1
E-Commerce Data Analyst,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,48,"iSeatz
", LA,1,21,0,0,0,0,1
Sr. Scientist II,3.5,"Nektar Therapeutics
3.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,174,"Nektar Therapeutics
", CA,1,30,0,0,0,0,1
Insurance Data Scientist,3.9,"TransUnion
3.9","Atlanta, GA","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,0,0,85,"TransUnion
", GA,0,52,1,0,1,0,0
Data Modeler,4.7,"IT Concepts
4.7","Landover, MD","Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,0,0,106.5,"IT Concepts
", MD,0,17,0,0,0,0,0
Data Analyst / Scientist,4.2,"Scientific Research Corporation
4.2","Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,0,0,72.5,"Scientific Research Corporation
", MD,0,32,0,0,0,0,1
Scientist,3.4,"General Dynamics Information Technology
3.4","Suitland, MD","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,0,0,85.5,"General Dynamics Information Technology
", MD,0,24,0,0,0,0,0
Data Scientist,3.2,"MITRE
3.2","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,0,0,97.5,"MITRE
", VA,0,62,1,0,0,0,1
Data Scientist,3.9,"The Buffalo Group
3.9","Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,0,0,99,"The Buffalo Group
", VA,0,10,1,0,0,0,1
Data Analyst,3.1,"DentaQuest
3.1","Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,0,0,56.5,"DentaQuest
", WI,0,19,0,0,0,0,1
Lead Data Scientist,4.1,"Redjack
4.1","Silver Spring, MD","Silver Spring, MD",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,0,0,133,"Redjack
", MD,1,13,1,0,0,0,0
Data Scientist,3.8,"7Park Data
3.8","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,0,0,121,"7Park Data
", NY,1,8,1,0,1,0,0
Data Scientist,4.7,"Rapid Response Monitoring
4.7","Syracuse, NY","Syracuse, NY",501 to 1000 employees,1992,Company - Private,Security Services,Business Services,0,0,85.5,"Rapid Response Monitoring
", NY,1,28,1,0,0,0,0
"Data Scientist, Rice University",4.3,"Trilogy Ed
4.3","Houston, TX","New York, NY",1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,0,0,87.5,"Trilogy Ed
", TX,0,5,1,0,0,0,0
Senior Data Scientist,4.2,"Gallup
4.2","Washington, DC","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,0,0,237.5,"Gallup
", DC,1,85,1,0,0,0,1
Data Engineer,3.9,"CapTech
3.9","Charlotte, NC","Richmond, VA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,0,0,95.5,"CapTech
", NC,0,23,1,0,1,0,0
Senior Data Scientist,3.3,"American Axle & Manufacturing
3.3","Southfield, MI","Detroit, MI",10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,0,0,104.5,"American Axle & Manufacturing
", MI,0,26,1,0,1,1,1
Financial Data Analyst,4.7,"CentralReach
4.7","Matawan, NJ","Pompano Beach, FL",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,0,0,56.5,"CentralReach
", NJ,0,8,0,0,0,0,1
Senior Data Analyst,4.3,"Integrate
4.3","Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,55,"Integrate
", AZ,1,10,0,0,0,0,1
Research Scientist,2.9,"Boys Town Hospital
2.9","Omaha, NE","Omaha, NE",1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,0,0,61.5,"Boys Town Hospital
", NE,1,43,0,0,0,0,1
Data Scientist,4.5,"Demandbase
4.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,0,0,157,"Demandbase
", CA,1,14,0,0,1,1,0
Data Engineer,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,0,0,78,"Sapphire Digital
", NJ,1,1,1,0,0,0,0
Data Scientist,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,113.5,"Takeda Pharmaceuticals
", MA,0,239,1,0,1,0,0
Data Scientist,4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,0,0,140,"<intent>
", NY,1,11,1,0,1,0,0
Data Scientist,3.2,"Formation
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,132.5,"Formation
", CA,1,5,0,0,1,0,1
Data Engineer,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,0,0,108,"Autodesk
", CA,0,38,1,0,1,0,0
Ag Data Scientist,4.6,"Beck's Hybrids
4.6","Atlanta, IN","Atlanta, IN",501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,0,0,80.5,"Beck's Hybrids
", IN,1,83,0,0,0,0,0
Data Scientist,2.8,"DrFirst
2.8","Rockville, MD","Rockville, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,0,0,107.5,"DrFirst
", MD,1,20,1,0,0,0,0
Data Engineer,4.7,"Object Partners
4.7","Minneapolis, MN","Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,0,0,95,"Object Partners
", MN,1,24,0,0,1,1,0
Data Scientist II,3,"L.A. Care Health Plan
3.0","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,0,0,119.5,"L.A. Care Health Plan
", CA,1,23,1,0,1,0,0
Senior Data Engineer,3.2,"Red Ventures
3.2","Charlotte, NC","Fort Mill, SC",1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,0,0,134,"Red Ventures
", NC,0,20,0,0,1,1,0
Data Scientist,4.4,"Quick Base
4.4","Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,100.5,"Quick Base
", MA,1,21,1,0,0,0,1
Data Scientist,3.5,"The E.W. Scripps Company
3.5","Cincinnati, OH","Cincinnati, OH",1001 to 5000 employees,1878,Company - Public,TV Broadcast & Cable Networks,Media,0,0,107.5,"The E.W. Scripps Company
", OH,1,142,1,0,0,0,0
Data Engineer,4,"Upside Business Travel
4.0","Washington, DC","Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,0,0,122,"Upside Business Travel
", DC,1,5,1,0,1,1,0
